Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Price
Mercedes-Benz,2016,Black,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,21.0,29.0,25.0,25246.0,31993.0
Mercedes-Benz,2017,Black,Other,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,13.0,14.0,13.5,59500.0,76988.0
Cadillac,2022,Black,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,18.0,26.0,22.0,6976.0,53900.0
Ford,2018,White,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,16.0,22.0,19.0,126500.0,21999.0
GMC,2023,White,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,1402.0,114685.0
Hyundai,2023,Red,Silver/Gray,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,3000.0,22475.0
RAM,2020,White,Black,Four-wheel Drive,Gasoline,5.7,V8,16.0,None reported,Yes,Yes,19.0,24.0,21.5,56111.0,35985.0
Kia,2021,Other,Black,All-wheel Drive,Gasoline,3.3,V6,24.0,None reported,Yes,Yes,17.0,25.0,21.0,78250.0,34984.0
BMW,2022,Brown,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,6442.0,61982.0
Lexus,2014,Black,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,No,18.0,24.0,21.0,102979.0,19509.0
Toyota,2015,Black,Black,Front-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,No,25.0,35.0,30.0,138277.0,12361.0
Lexus,2019,White,Other,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,19.0,26.0,22.5,33496.0,39995.0
Lamborghini,2022,Blue,Other,Rear-wheel Drive,Gasoline,5.2,V10,40.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,1423.0,304000.0
BMW,2018,Metallic,White,Rear-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,Yes,24.0,34.0,29.0,59561.0,26895.0
Ford,2010,Black,Black,Rear-wheel Drive,Gasoline,4.0,V6,12.0,At least 1 accident or damage reported,Yes,Yes,18.0,26.0,22.0,64819.0,16975.0
Ford,2016,Red,Other,Four-wheel Drive,Diesel,6.7,V8,32.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,147172.0,37910.0
Lincoln,2020,Silver/Gray,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,17.0,24.0,20.5,54275.0,41677.0
Cadillac,2019,White,Brown,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,19.0,26.0,22.5,53183.0,29990.0
Acura,2021,Blue,Silver/Gray,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,27.0,24.0,26732.0,37575.0
Nissan,2015,Other,Other,Four-wheel Drive,Gasoline,4.0,V6,24.0,At least 1 accident or damage reported,No,Yes,15.0,21.0,18.0,75338.0,21361.0
Toyota,2009,Black,Brown,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,No,Yes,21.0,31.0,26.0,189867.0,6995.0
Lexus,2020,Other,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,26.0,22.5,40767.0,39000.0
BMW,2010,Yellow,Black,Rear-wheel Drive,Gasoline,4.0,V8,32.0,None reported,No,Yes,14.0,20.0,17.0,32245.0,73900.0
BMW,2016,Silver/Gray,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,No,No,18.0,24.0,21.0,98231.0,20857.0
BMW,2018,Black,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,No,Yes,18.0,24.0,21.0,23940.0,37495.0
Mazda,2021,Silver/Gray,Red,Front-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,23.0,31.0,27.0,6308.0,31500.0
Mazda,2019,White,Black,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,24.0,30.0,27.0,23426.0,22888.0
Toyota,2009,Black,Other,Front-wheel Drive,Gasoline,1.5,I4,16.0,At least 1 accident or damage reported,No,Yes,29.0,36.0,32.5,77558.0,7833.0
Toyota,2019,Silver/Gray,Other,Front-wheel Drive,Hybrid,1.8,I4,16.0,None reported,Yes,Yes,54.0,50.0,52.0,29041.0,26805.0
Lexus,2008,Other,Other,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,25.0,21.5,96185.0,11690.0
Chevrolet,2014,White,Other,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,114758.0,23600.0
INFINITI,2021,Other,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,28226.0,33500.0
Chevrolet,2022,Silver/Gray,Black,Four-wheel Drive,Diesel,3.0,I6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,3897.0,45000.0
Ford,2005,Silver/Gray,Silver/Gray,Four-wheel Drive,Gasoline,4.6,V8,16.0,None reported,Yes,No,14.0,18.0,16.0,144137.0,4000.0
Jeep,2018,Silver/Gray,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,18.0,25.0,21.5,78287.0,23470.0
Acura,2019,Black,Silver/Gray,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,26.0,22.5,53890.0,32151.0
Mazda,2021,White,Other,All-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,23.0,31.0,27.0,20570.0,28220.0
McLaren,2020,Blue,Black,Rear-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,15.0,22.0,18.5,7071.0,274999.0
Mercedes-Benz,2015,Silver/Gray,Silver/Gray,All-wheel Drive,Diesel,3.0,V6,24.0,At least 1 accident or damage reported,No,Yes,19.0,26.0,22.5,121074.0,15980.0
Porsche,2017,White,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,No,Yes,17.0,23.0,20.0,83889.0,39790.0
Ford,2016,Red,Black,Front-wheel Drive,Gasoline,1.6,I4,16.0,At least 1 accident or damage reported,Yes,Yes,28.0,36.0,32.0,45344.0,13695.0
Ford,2018,Metallic,Black,Four-wheel Drive,Gasoline,5.0,V8,32.0,None reported,No,No,18.0,23.0,20.5,43147.0,34483.0
GMC,2020,Black,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,14.0,22.0,18.0,42892.0,57346.0
Lexus,2014,Black,Orange,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,No,19.0,26.0,22.5,120509.0,19389.0
BMW,2014,Silver/Gray,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,No,Yes,18.0,27.0,22.5,89034.0,18500.0
Chrysler,2020,Black,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,19.0,28.0,23.5,46171.0,34795.0
Chevrolet,2007,Blue,Other,Four-wheel Drive,Gasoline,5.3,V8,16.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,203990.0,8887.0
Honda,2013,Black,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,21.0,34.0,27.5,116471.0,14222.0
Volkswagen,2021,White,Other,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,16.0,22.0,19.0,28363.0,40298.0
Chevrolet,2014,Silver/Gray,Silver/Gray,Front-wheel Drive,Gasoline,1.2,I4,16.0,None reported,No,Yes,30.0,39.0,34.5,93358.0,7997.0
Pontiac,1991,Other,Silver/Gray,Rear-wheel Drive,Gasoline,5.0,V8,16.0,At least 1 accident or damage reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,58381.0,8500.0
Volkswagen,2022,Blue,Blue,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.0,28.0,24.0,11865.0,54750.0
Nissan,2017,Metallic,Other,Four-wheel Drive,Gasoline,5.6,V8,32.0,At least 1 accident or damage reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,96582.0,27995.0
Ford,2022,Black,Black,Rear-wheel Drive,Gasoline,2.3,I4,16.0,None reported,Yes,Yes,21.0,29.0,25.0,8729.0,32076.0
Nissan,2020,Silver/Gray,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.0,30.0,25.0,17106.0,23086.0
Volkswagen,2022,White,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.0,24.0,22.0,22460.0,42490.0
Chevrolet,2021,Black,Black,All-wheel Drive,Gasoline,1.3,I3,12.0,None reported,Yes,Yes,26.0,30.0,28.0,27196.0,27459.0
Chevrolet,2018,White,Black,Rear-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,20.0,26.0,23.0,73446.0,19350.0
Chevrolet,2013,Silver/Gray,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,117042.0,19850.0
Chevrolet,2020,Blue,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,No,15.0,21.0,18.0,28667.0,59977.0
Chevrolet,2015,Black,Other,Rear-wheel Drive,Gasoline,5.3,V8,16.0,At least 1 accident or damage reported,No,Yes,16.0,23.0,19.5,101055.0,23200.0
GMC,2019,White,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,No,No,15.0,20.0,17.5,28960.0,49595.0
GMC,2022,White,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,19.0,26.0,22.5,4597.0,40865.0
Cadillac,2020,Metallic,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,At least 1 accident or damage reported,Yes,Yes,14.0,21.0,17.5,30097.0,55976.0
Chevrolet,2020,Silver/Gray,Red,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,15.0,27.0,21.0,4617.0,91820.0
Buick,2017,Red,Other,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,No,Yes,21.0,31.0,26.0,61841.0,19615.0
Chevrolet,2017,Blue,Silver/Gray,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,Yes,16.0,25.0,20.5,6776.0,58299.0
Ford,2020,White,Silver/Gray,Four-wheel Drive,Gasoline,5.0,V8,32.0,None reported,Yes,No,18.0,23.0,20.5,22178.0,39400.0
Ford,2018,Black,Black,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,19.0,24.0,21.5,49707.0,37697.0
Ford,2011,Silver/Gray,Other,Rear-wheel Drive,E85 Flex Fuel,3.7,V6,24.0,None reported,No,No,17.0,23.0,20.0,168081.0,13995.0
Ford,2013,Brown,Other,Four-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,14.0,19.0,16.5,121111.0,18716.0
Dodge,2006,Black,Other,Rear-wheel Drive,Diesel,5.9,I6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,281011.0,14900.0
Ford,2006,Silver/Gray,Other,Four-wheel Drive,Diesel,6.0,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,93131.0,28450.0
Porsche,2020,White,Black,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,No,Yes,15.0,19.0,17.0,15033.0,106909.0
Volkswagen,2013,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.5,I5,20.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,107882.0,8000.0
Jeep,2019,Black,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,No,Yes,17.0,25.0,21.0,27324.0,29500.0
INFINITI,2020,Red,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,26398.0,35500.0
Mitsubishi,2019,Black,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,23.0,29.0,26.0,50658.0,16990.0
Hyundai,2017,Black,Silver/Gray,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,23.0,30.0,26.5,69986.0,17260.0
Kia,2017,Black,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,29.0,38.0,33.5,179172.0,6985.0
Audi,2015,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,23.0,31.0,27.0,88254.0,22900.0
Volvo,2020,Silver/Gray,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.0,27.0,23.5,63338.0,37190.0
Ford,2018,White,Black,Rear-wheel Drive,Gasoline,2.3,I4,16.0,At least 1 accident or damage reported,No,No,21.0,31.0,26.0,64088.0,22743.0
Audi,2012,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,21.0,29.0,25.0,79512.0,19989.0
Kia,2020,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.6,I4,16.0,None reported,No,No,33.0,41.0,37.0,69581.0,14961.0
Chevrolet,2020,Black,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,No,15.0,21.0,18.0,82675.0,37342.0
INFINITI,2020,Other,Other,Four-wheel Drive,Gasoline,5.6,V8,32.0,None reported,Yes,Yes,13.0,19.0,16.0,66814.0,48995.0
Jeep,2021,Black,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,16.0,23.0,19.5,20474.0,36400.0
Nissan,2020,White,Other,Rear-wheel Drive,Gasoline,3.8,V6,24.0,None reported,Yes,Yes,18.0,24.0,21.0,20407.0,24196.0
Mitsubishi,2018,Blue,Black,Four-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,23.0,29.0,26.0,320849.0,9920.0
Jeep,2020,White,Other,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,18.0,25.0,21.5,27729.0,33490.0
