Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Usage Intensity,Ownership History,Engine Power,Fuel Efficiency,Origin,Gallons Per Year,Price
Ford,2006,Silver/Gray,Other,Four-wheel Drive,Diesel,6.0,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,93131.0,5173.944444444444,Potential Risk,192.0,3.986027131742587,American,216.336729674263,28450.0
Porsche,2020,White,Black,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,No,Yes,15.0,19.0,17.0,15033.0,3758.25,Potential Risk,128.0,4.25,European,221.0735294117647,106909.0
Volkswagen,2013,Silver/Gray,Black,Front-wheel Drive,Gasoline,2.5,I5,20.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,107882.0,9807.454545454546,Bad,50.0,9.56646511618221,European,410.07642536069835,8000.0
Jeep,2019,Black,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,No,Yes,17.0,25.0,21.0,27324.0,5464.8,Potential Risk,86.4,5.833333333333333,American,260.2285714285714,29500.0
INFINITI,2020,Red,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,26398.0,6599.5,Good,32.0,12.5,Asian,263.98,35500.0
Mitsubishi,2019,Black,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,None reported,Yes,Yes,23.0,29.0,26.0,50658.0,10131.6,Good,38.4,10.833333333333334,Asian,389.6769230769231,16990.0
Hyundai,2017,Black,Silver/Gray,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,23.0,30.0,26.5,69986.0,9998.0,Potential Risk,32.0,13.25,Asian,377.2830188679245,17260.0
Kia,2017,Black,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,29.0,38.0,33.5,179172.0,25596.0,Good,32.0,16.75,Asian,764.0597014925373,6985.0
Audi,2015,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,23.0,31.0,27.0,88254.0,9806.0,Potential Risk,32.0,13.5,European,363.18518518518516,22900.0
Volvo,2020,Silver/Gray,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.0,27.0,23.5,63338.0,15834.5,Good,32.0,11.75,European,673.8085106382979,37190.0
Ford,2018,White,Black,Rear-wheel Drive,Gasoline,2.3,I4,16.0,At least 1 accident or damage reported,No,No,21.0,31.0,26.0,64088.0,10681.333333333334,Bad,36.8,11.304347826086957,American,410.8205128205129,22743.0
Audi,2012,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,21.0,29.0,25.0,79512.0,6626.0,Potential Risk,32.0,12.5,European,265.04,19989.0
Kia,2020,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.6,I4,16.0,None reported,No,No,33.0,41.0,37.0,69581.0,17395.25,Potential Risk,25.6,23.125,Asian,470.1418918918919,14961.0
Chevrolet,2020,Black,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,No,15.0,21.0,18.0,82675.0,20668.75,Good,84.8,3.3962264150943398,American,1148.263888888889,37342.0
INFINITI,2020,Other,Other,Four-wheel Drive,Gasoline,5.6,V8,32.0,None reported,Yes,Yes,13.0,19.0,16.0,66814.0,16703.5,Good,179.2,2.857142857142857,Asian,1043.96875,48995.0
Jeep,2021,Black,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,16.0,23.0,19.5,20474.0,6824.666666666667,Good,86.4,5.416666666666667,American,349.982905982906,36400.0
Nissan,2020,White,Other,Rear-wheel Drive,Gasoline,3.8,V6,24.0,None reported,Yes,Yes,18.0,24.0,21.0,20407.0,5101.75,Good,91.19999999999999,5.526315789473684,Asian,242.9404761904762,24196.0
Mitsubishi,2018,Blue,Black,Four-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,23.0,29.0,26.0,320849.0,53474.833333333336,Good,32.0,13.0,Asian,2056.724358974359,9920.0
Jeep,2020,White,Other,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,18.0,25.0,21.5,27729.0,6932.25,Good,86.4,5.972222222222222,American,322.43023255813955,33490.0
Ford,2013,White,Other,Four-wheel Drive,Gasoline,5.4,V8,24.0,None reported,No,No,13.0,18.0,15.5,152587.0,13871.545454545454,Potential Risk,129.60000000000002,2.8703703703703702,American,894.9384164222873,13229.0
