Brand,Year,Exterior color,Interior color,Drivetrain,Fuel type,Capacity,Configuration,Valves,Accidents or damage,1-owner vehicle,Personal use only,MPG_min,MPG_max,MPG_mean,Mileage,Usage Intensity,Ownership History,Engine Power,Fuel Efficiency,Origin,Gallons Per Year,Price
Chrysler,2021,White,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,19.0,28.0,23.5,66078.0,22026.0,Good,86.4,6.527777777777778,American,937.2765957446809,22800.0
Chrysler,2022,Silver/Gray,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,26408.0,13204.0,Good,86.4,6.643378552904312,American,552.0952552333964,39288.0
MINI,2014,Black,Black,Front-wheel Drive,Gasoline,1.6,I4,16.0,None reported,Yes,No,26.0,32.0,29.0,61281.0,6128.1,Good,25.6,18.125,European,211.3137931034483,15998.0
Mitsubishi,2019,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.2,I3,12.0,None reported,Yes,No,33.0,41.0,37.0,45828.0,9165.6,Good,14.399999999999999,30.833333333333336,Asian,247.71891891891892,15998.0
Alfa Romeo,2017,White,Brown,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,23.0,31.0,27.0,58918.0,8416.857142857143,Potential Risk,32.0,13.5,European,311.7354497354498,24995.0
BMW,2022,Black,Other,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,20.0,27.0,23.5,21186.0,10593.0,Good,72.0,7.833333333333333,European,450.7659574468085,69380.0
Ford,2021,White,Silver/Gray,Four-wheel Drive,E85 Flex Fuel,6.2,V8,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,6197.0,2065.6666666666665,Potential Risk,99.2,3.857445611363794,American,86.37115764620211,56990.0
Chevrolet,2022,Metallic,Black,Four-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,10482.0,5241.0,Good,84.8,4.5124835453689665,American,219.14050535278935,50435.0
Audi,2018,Silver/Gray,Red,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,16.0,24.0,20.0,46525.0,7754.166666666667,Good,128.0,5.0,European,387.7083333333333,39900.0
GMC,2022,Black,Black,All-wheel Drive,Gasoline,1.5,I4,16.0,None reported,Yes,Yes,25.0,28.0,26.5,4500.0,2250.0,Good,24.0,17.666666666666668,American,84.90566037735849,38595.0
BMW,2023,Black,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,1535.0,1535.0,Potential Risk,32.0,11.958081395227762,European,64.18253686634834,38991.0
Buick,2011,Silver/Gray,Silver/Gray,Front-wheel Drive,E85 Flex Fuel,3.9,V6,12.0,At least 1 accident or damage reported,Yes,Yes,17.0,27.0,22.0,35500.0,2730.769230769231,Potential Risk,46.8,5.641025641025641,American,124.12587412587413,15995.0
Hyundai,2020,Silver/Gray,Silver/Gray,Front-wheel Drive,Hybrid,1.6,I4,16.0,At least 1 accident or damage reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,12156.0,3039.0,Potential Risk,25.6,14.947601744034701,Asian,127.06887917708964,29866.0
Chevrolet,2019,White,Other,Rear-wheel Drive,Gasoline,6.0,V8,16.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,57360.0,11472.0,Good,96.0,3.986027131742587,American,479.67561102980335,34995.0
Jaguar,2014,Black,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,No,No,17.0,28.0,22.5,80274.0,8027.4,Bad,72.0,7.5,British,356.7733333333333,16481.0
Mercedes-Benz,2016,Black,Silver/Gray,Rear-wheel Drive,Gasoline,6.0,V12,36.0,None reported,No,Yes,13.0,20.0,16.5,31450.0,3931.25,Potential Risk,216.0,2.75,European,238.25757575757575,84950.0
Hyundai,2007,Green,Other,Front-wheel Drive,Gasoline,3.8,V6,24.0,None reported,No,Yes,19.0,28.0,23.5,60486.0,3558.0,Potential Risk,91.19999999999999,6.184210526315789,Asian,151.40425531914894,8499.0
Mercedes-Benz,2017,Black,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,25.0,21.5,59647.0,8521.0,Bad,72.0,7.166666666666667,European,396.3255813953488,37998.0
Chevrolet,2015,Blue,Black,Front-wheel Drive,E85 Flex Fuel,2.4,I4,16.0,None reported,No,No,20.0,28.0,24.0,64525.0,7169.444444444444,Potential Risk,38.4,10.0,American,298.72685185185185,15999.0
Nissan,2022,Metallic,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,No,No,29.0,39.0,34.0,8549.0,4274.5,Bad,32.0,17.0,Asian,125.72058823529412,22621.0
Volkswagen,2019,Silver/Gray,Black,All-wheel Drive,Gasoline,1.8,I4,16.0,None reported,Yes,Yes,22.0,30.0,26.0,44449.0,8889.8,Good,28.8,14.444444444444445,European,341.9153846153846,26998.0
Toyota,2022,Other,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,22.0,32.0,27.0,22051.0,11025.5,Good,84.0,7.714285714285714,Asian,408.35185185185185,35209.0
Lincoln,2023,White,Other,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,275.0,275.0,Good,32.0,11.958081395227762,American,11.498500090062405,54911.0
Chevrolet,2020,White,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.0,23.0,21.5,33125.0,8281.25,Good,99.2,3.467741935483871,American,385.1744186046512,47105.0
Volkswagen,2018,White,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,19.0,25.0,22.0,17762.0,2960.3333333333335,Good,32.0,11.0,European,134.56060606060606,21987.0
Chevrolet,2014,Green,Black,Rear-wheel Drive,Gasoline,5.3,V8,16.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,57973.0,5797.3,Bad,84.8,4.5124835453689665,American,242.4009257167956,23796.0
Cadillac,2011,White,Black,Front-wheel Drive,Gasoline,4.6,V8,32.0,None reported,No,No,15.0,23.0,19.0,42156.0,3242.769230769231,Potential Risk,147.2,4.130434782608696,American,170.67206477732796,12912.0
Land Rover,2013,Silver/Gray,Black,Four-wheel Drive,Gasoline,5.0,V8,32.0,At least 1 accident or damage reported,No,Yes,14.0,20.0,17.0,90313.0,8210.272727272728,Bad,160.0,3.4,British,482.95721925133694,27950.0
BMW,2021,Metallic,Black,All-wheel Drive,Gasoline,4.4,V8,32.0,None reported,No,No,17.0,25.0,21.0,23623.0,7874.333333333333,Potential Risk,140.8,4.7727272727272725,European,374.968253968254,64999.0
Cadillac,2021,Metallic,Black,All-wheel Drive,Gasoline,2.7,I4,16.0,None reported,No,Yes,23.0,32.0,27.5,12075.0,4025.0,Potential Risk,43.2,10.185185185185185,American,146.36363636363635,38766.0
Cadillac,2018,Metallic,Black,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,Yes,14.0,23.0,18.5,64484.0,10747.333333333334,Potential Risk,99.2,2.9838709677419355,American,580.936936936937,45955.0
Nissan,2022,Metallic,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,29.0,39.0,34.0,25342.0,12671.0,Good,32.0,17.0,Asian,372.6764705882353,21000.0
Audi,2016,Black,Black,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,24.0,34.0,29.0,83196.0,10399.5,Potential Risk,32.0,14.5,European,358.6034482758621,17980.0
MINI,2021,Silver/Gray,Black,Front-wheel Drive,Gasoline,1.5,I3,12.0,None reported,No,Yes,26.0,37.0,31.5,25542.0,8514.0,Potential Risk,18.0,21.0,European,270.2857142857143,23900.0
Chevrolet,2023,Red,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,415.0,415.0,Good,86.4,6.643378552904312,American,17.352281954094178,43980.0
Volvo,2021,Metallic,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,30.0,26.0,10996.0,3665.3333333333335,Good,32.0,13.0,European,140.97435897435898,40999.0
Chevrolet,2015,Silver/Gray,Black,Four-wheel Drive,Diesel,6.6,V8,32.0,At least 1 accident or damage reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,163947.0,18216.333333333332,Bad,211.2,3.6236610288568976,American,761.6745835416006,35999.0
Lexus,2019,Silver/Gray,Other,All-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,19.0,26.0,22.5,33747.0,6749.4,Potential Risk,84.0,6.428571428571429,Asian,299.9733333333333,38990.0
Chrysler,2015,Black,Black,Rear-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,19.0,31.0,25.0,100771.0,11196.777777777777,Bad,86.4,6.944444444444445,American,447.87111111111113,13726.0
BMW,2018,Silver/Gray,Black,All-wheel Drive,Diesel,3.0,I6,24.0,At least 1 accident or damage reported,Yes,Yes,23.0,29.0,26.0,28224.0,4704.0,Potential Risk,72.0,8.666666666666666,European,180.9230769230769,39987.0
Ford,2021,Red,Other,Four-wheel Drive,Gasoline,5.0,V8,32.0,None reported,Yes,Yes,19.0,22.0,20.5,17316.0,5772.0,Good,160.0,4.1,American,281.5609756097561,46995.0
Audi,2022,Black,Black,All-wheel Drive,Gasoline,4.0,V8,32.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,362.0,181.0,Good,128.0,5.979040697613881,European,7.568103695641074,109998.0
Ford,2013,White,Silver/Gray,Front-wheel Drive,Gasoline,2.0,I4,16.0,At least 1 accident or damage reported,Yes,No,22.0,27.0,24.5,63504.0,5773.090909090909,Potential Risk,32.0,12.25,American,235.63636363636363,17900.0
BMW,2020,Black,Red,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,23.0,32.0,27.5,18848.0,4712.0,Good,32.0,13.75,European,171.34545454545454,39699.0
Mazda,2017,Blue,Other,Front-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,44978.0,6425.428571428572,Good,40.0,9.56646511618221,Asian,268.66469457185815,19792.0
Mercedes-Benz,2023,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,967.0,967.0,Good,32.0,11.958081395227762,European,40.43290758941944,79999.0
Nissan,2013,Metallic,Other,Front-wheel Drive,Gasoline,2.5,I4,16.0,None reported,Yes,Yes,27.0,38.0,32.5,23817.0,2165.181818181818,Good,40.0,13.0,Asian,66.62097902097902,14985.0
Alfa Romeo,2022,Black,Black,Rear-wheel Drive,Gasoline,2.9,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,579.0,289.5,Good,69.6,8.246952686363974,European,12.104784640265697,79900.0
Kia,2018,Silver/Gray,Other,Front-wheel Drive,Gasoline,3.3,V6,24.0,At least 1 accident or damage reported,No,Yes,18.0,24.0,21.0,104226.0,17371.0,Bad,79.19999999999999,6.363636363636364,Asian,827.1904761904761,16991.0
INFINITI,2013,Other,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,18.0,23.0,20.5,89646.0,8149.636363636364,Good,84.0,5.857142857142857,Asian,397.54323725055434,14990.0
Dodge,2018,Silver/Gray,Black,Front-wheel Drive,E85 Flex Fuel,3.6,V6,24.0,At least 1 accident or damage reported,No,No,17.0,25.0,21.0,80868.0,13478.0,Bad,86.4,5.833333333333333,American,641.8095238095237,17600.0
Chevrolet,2001,White,Black,Four-wheel Drive,Diesel,6.6,V8,32.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,209148.0,9093.391304347826,Bad,211.2,3.6236610288568976,American,380.2194935709679,14900.0
Lexus,2018,White,Red,All-wheel Drive,Hybrid,3.5,V6,24.0,None reported,No,No,31.0,28.0,29.5,34437.0,5739.5,Potential Risk,84.0,8.428571428571429,Asian,194.5593220338983,44955.0
Chevrolet,2021,White,Other,Rear-wheel Drive,Gasoline,4.3,V6,12.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,28884.0,9628.0,Good,51.599999999999994,5.56189832336175,American,402.57294133498493,41900.0
Jeep,2023,Metallic,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,6187.0,6187.0,Good,86.4,6.643378552904312,American,258.69534566260404,51998.0
Honda,2017,Metallic,Silver/Gray,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,26.0,22.5,89265.0,12752.142857142857,Good,84.0,6.428571428571429,Asian,566.7619047619048,27787.0
Mercedes-Benz,2003,Silver/Gray,Other,Rear-wheel Drive,Gasoline,5.0,V8,24.0,At least 1 accident or damage reported,Yes,Yes,15.0,22.0,18.5,37855.0,1802.6190476190477,Potential Risk,120.0,3.7,European,97.43886743886745,16989.0
Nissan,2021,Metallic,Black,Four-wheel Drive,Gasoline,5.6,V8,32.0,None reported,Yes,Yes,15.0,20.0,17.5,13860.0,4620.0,Good,179.2,3.125,Asian,264.0,49950.0
Ford,2022,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,21.0,28.0,24.5,6336.0,3168.0,Good,32.0,12.25,American,129.30612244897958,31266.0
Toyota,2006,Blue,Other,Front-wheel Drive,Gasoline,3.3,V6,24.0,None reported,Yes,Yes,19.0,25.0,22.0,74536.0,4140.888888888889,Good,79.19999999999999,6.666666666666667,Asian,188.22222222222223,11699.0
Genesis,2022,Red,Black,All-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,19.0,25.0,22.0,24593.0,12296.5,Good,84.0,6.285714285714286,Asian,558.9318181818181,53821.0
Ford,2019,White,Black,Rear-wheel Drive,Gasoline,5.2,V8,32.0,None reported,Yes,No,14.0,21.0,17.5,27700.0,5540.0,Good,166.4,3.3653846153846154,American,316.57142857142856,62999.0
GMC,2012,Red,Black,Four-wheel Drive,Gasoline,3.7,I5,20.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,65717.0,5476.416666666667,Good,74.0,6.463827781204195,American,228.98391830867612,18998.0
Dodge,2014,Black,Black,Front-wheel Drive,Gasoline,2.4,I4,16.0,At least 1 accident or damage reported,Yes,No,21.0,30.0,25.5,94767.0,9476.7,Potential Risk,38.4,10.625,American,371.63529411764705,8988.0
Toyota,2019,Black,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,Yes,Yes,22.0,32.0,27.0,46610.0,9322.0,Potential Risk,84.0,7.714285714285714,Asian,345.25925925925924,29921.0
Buick,2022,Metallic,Black,All-wheel Drive,Gasoline,1.3,I3,12.0,None reported,Yes,Yes,26.0,29.0,27.5,13400.0,6700.0,Good,15.600000000000001,21.153846153846153,American,243.63636363636363,26799.0
Chevrolet,2021,Black,Black,All-wheel Drive,Gasoline,1.3,I3,12.0,None reported,Yes,Yes,26.0,30.0,28.0,46501.0,15500.333333333334,Good,15.600000000000001,21.538461538461537,American,553.5833333333334,26988.0
Volkswagen,2012,Silver/Gray,Silver/Gray,Front-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,21.0,31.0,26.0,126467.0,10538.916666666666,Potential Risk,32.0,13.0,European,405.34294871794873,11997.0
Dodge,2015,Blue,Black,Rear-wheel Drive,Gasoline,8.4,V10,20.0,None reported,No,No,12.0,21.0,16.5,10241.0,1137.888888888889,Potential Risk,168.0,1.9642857142857142,American,68.96296296296296,149500.0
Cadillac,2020,Metallic,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,17.0,24.0,20.5,44898.0,11224.5,Good,86.4,5.694444444444445,American,547.5365853658536,43888.0
Ford,2021,Silver/Gray,Black,Rear-wheel Drive,Gasoline,2.3,I4,16.0,None reported,Yes,Yes,21.0,26.0,23.5,36046.0,12015.333333333334,Good,36.8,10.217391304347826,American,511.290780141844,25998.0
GMC,2005,Blue,Silver/Gray,Rear-wheel Drive,Gasoline,3.5,I5,20.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,122085.0,6425.526315789473,Potential Risk,70.0,6.833189368701578,American,268.66878153019496,9995.0
Mercedes-Benz,2021,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,29.0,25.5,17944.0,5981.333333333333,Good,32.0,12.75,European,234.56209150326796,45000.0
Audi,2021,Black,Black,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,18.0,23.0,20.5,25521.0,8507.0,Potential Risk,72.0,6.833333333333333,European,414.9756097560976,54000.0
Acura,2022,Silver/Gray,Red,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,17.0,21.0,19.0,32280.0,16140.0,Good,72.0,6.333333333333333,Asian,849.4736842105264,61987.0
Cadillac,2015,Silver/Gray,Other,Rear-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,18.0,29.0,23.5,74502.0,8278.0,Bad,86.4,6.527777777777778,American,352.25531914893617,20495.0
RAM,2019,Silver/Gray,Black,Front-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,102612.0,20522.4,Potential Risk,86.4,6.643378552904312,American,858.0975209028971,30555.0
Kia,2022,Other,Black,All-wheel Drive,Hybrid,1.6,I4,16.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,22875.0,11437.5,Potential Risk,25.6,14.947601744034701,Asian,478.2330719275955,46411.0
Audi,2018,White,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,No,Yes,20.0,28.0,24.0,37904.0,6317.333333333333,Potential Risk,32.0,12.0,European,263.22222222222223,27999.0
Land Rover,2017,White,Black,Four-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,20.0,25.0,22.5,85661.0,12237.285714285714,Good,32.0,11.25,British,543.8793650793651,20995.0
Lexus,2019,Other,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,19.0,27.0,23.0,35898.0,7179.6,Bad,84.0,6.571428571428571,Asian,312.1565217391304,36799.0
BMW,2018,Silver/Gray,Black,Rear-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,40020.0,6670.0,Good,32.0,11.958081395227762,European,278.8908930935136,25933.0
Toyota,2018,Silver/Gray,Other,Front-wheel Drive,Hybrid,2.5,I4,16.0,At least 1 accident or damage reported,No,No,51.0,53.0,52.0,89300.0,14883.333333333334,Bad,40.0,20.8,Asian,286.21794871794873,22491.0
Kia,2022,White,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,19.0,26.0,22.5,36724.0,18362.0,Potential Risk,84.0,6.428571428571429,Asian,816.0888888888888,44988.0
INFINITI,2017,Blue,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,At least 1 accident or damage reported,No,No,20.0,27.23954849498328,23.61977424749164,68654.0,9807.714285714286,Bad,72.0,7.873258082497213,Asian,415.2331932959029,26000.0
Lincoln,2021,White,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,Yes,Yes,17.0,24.0,20.5,17230.0,5743.333333333333,Good,72.0,6.833333333333333,American,280.1626016260163,61900.0
Toyota,2014,Other,Silver/Gray,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,Yes,21.0,31.0,26.0,56979.0,5697.9,Bad,84.0,7.428571428571429,Asian,219.15,19640.0
Chevrolet,2005,White,Other,Four-wheel Drive,Diesel,6.6,V8,32.0,At least 1 accident or damage reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,68827.0,3622.4736842105262,Bad,211.2,3.6236610288568976,American,151.4655053968852,25995.0
Toyota,2011,Other,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.0,29.0,24.5,120645.0,9280.384615384615,Good,84.0,7.0,Asian,378.7912087912088,12992.0
Ford,2020,Silver/Gray,Black,Front-wheel Drive,Hybrid,2.0,I4,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,30415.0,7603.75,Good,32.0,11.958081395227762,American,317.9335274902255,25897.0
Chevrolet,2021,White,Black,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,14.0,19.0,16.5,78337.0,26112.333333333332,Good,99.2,2.661290322580645,American,1582.5656565656566,62997.0
Lexus,2008,White,Silver/Gray,All-wheel Drive,Hybrid,3.3,V6,24.0,None reported,Yes,Yes,26.0,24.0,25.0,40449.0,2528.0625,Good,79.19999999999999,7.575757575757576,Asian,101.1225,19999.0
BMW,2021,White,Red,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,No,Yes,22.0,31.0,26.5,15332.0,5110.666666666667,Potential Risk,72.0,8.833333333333334,European,192.85534591194968,52994.0
Ford,2018,White,Other,Front-wheel Drive,Hybrid,2.0,I4,16.0,None reported,No,No,20.59277708592777,27.23954849498328,23.916162790455523,7513.0,1252.1666666666667,Potential Risk,32.0,11.958081395227762,American,52.356503743417484,24500.0
Jaguar,2017,Black,Other,All-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,20.0,28.0,24.0,56221.0,8031.571428571428,Potential Risk,72.0,8.0,British,334.6488095238095,23900.0
Toyota,2018,Red,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,21.0,30.0,25.5,46296.0,7716.0,Bad,84.0,7.285714285714286,Asian,302.5882352941176,25173.0
Jaguar,2014,Black,Other,Rear-wheel Drive,Gasoline,3.0,V6,24.0,None reported,No,No,19.0,27.0,23.0,45484.0,4548.4,Potential Risk,72.0,7.666666666666667,British,197.75652173913042,30910.0
Toyota,2023,Other,Black,Four-wheel Drive,Gasoline,4.0,V6,24.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,236.0,236.0,Good,96.0,5.979040697613881,Asian,9.867803713653556,59998.0
Chevrolet,2015,White,Other,Rear-wheel Drive,Gasoline,4.8,V8,16.0,None reported,No,No,11.0,17.0,14.0,62832.0,6981.333333333333,Potential Risk,76.8,2.916666666666667,American,498.6666666666667,27413.0
BMW,2019,Black,Other,Rear-wheel Drive,Gasoline,3.0,I6,24.0,At least 1 accident or damage reported,No,Yes,17.0,23.0,20.0,54098.0,10819.6,Bad,72.0,6.666666666666667,European,540.98,56900.0
Mercedes-Benz,2021,Black,Black,All-wheel Drive,Gasoline,3.0,I6,24.0,None reported,Yes,Yes,22.0,28.0,25.0,13704.0,4568.0,Good,72.0,8.333333333333334,European,182.72,69997.0
Toyota,2016,Silver/Gray,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,At least 1 accident or damage reported,No,No,21.0,30.0,25.5,83152.0,10394.0,Bad,84.0,7.285714285714286,Asian,407.6078431372549,19730.0
Buick,2019,Metallic,Other,Front-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,18.0,26.0,22.0,36254.0,7250.8,Bad,86.4,6.111111111111111,American,329.5818181818182,31458.0
Hummer,2007,Metallic,Black,Four-wheel Drive,Gasoline,6.0,V8,16.0,At least 1 accident or damage reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,68371.0,4021.823529411765,Potential Risk,96.0,3.986027131742587,American,168.1634116914774,29000.0
Lincoln,2021,Silver/Gray,Black,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,No,20.0,25.0,22.5,21394.0,7131.333333333333,Good,32.0,11.25,American,316.94814814814816,44487.0
Ford,2014,White,Other,Four-wheel Drive,E85 Flex Fuel,5.4,V8,24.0,None reported,Yes,No,13.0,18.0,15.5,59452.0,5945.2,Good,129.60000000000002,2.8703703703703702,American,383.56129032258065,17964.0
Buick,2017,Black,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,No,15.0,22.0,18.5,98772.0,14110.285714285714,Good,86.4,5.138888888888888,American,762.7181467181466,19344.0
INFINITI,2022,Silver/Gray,Other,All-wheel Drive,Gasoline,2.0,I4,16.0,None reported,Yes,Yes,22.0,28.0,25.0,14120.0,7060.0,Good,32.0,12.5,Asian,282.4,41800.0
Nissan,2019,Black,Other,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,Yes,20.0,30.0,25.0,71341.0,14268.2,Good,84.0,7.142857142857143,Asian,570.728,22970.0
Volkswagen,2017,White,Other,All-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,17.0,23.0,20.0,56225.0,8032.142857142857,Good,86.4,5.555555555555555,European,401.60714285714283,24792.0
Toyota,2019,Other,Black,Front-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,22.0,31.0,26.5,64902.0,12980.4,Good,84.0,7.571428571428571,Asian,489.8264150943396,28932.0
Chrysler,2017,Metallic,Black,All-wheel Drive,Gasoline,3.6,V6,24.0,At least 1 accident or damage reported,No,No,18.0,27.0,22.5,89745.0,12820.714285714286,Bad,86.4,6.25,American,569.8095238095237,18490.0
Ford,2011,Silver/Gray,Black,Four-wheel Drive,Diesel,6.7,V8,32.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,185833.0,14294.846153846154,Potential Risk,214.4,3.569576535888884,American,597.7065083179209,26988.0
Plymouth,1999,Metallic,Black,Rear-wheel Drive,Gasoline,3.5,V6,24.0,None reported,No,Yes,17.0,23.0,20.0,30116.0,1204.64,Potential Risk,84.0,5.714285714285714,American,60.232,28698.0
Ford,2021,Black,Other,Rear-wheel Drive,Gasoline,2.3,I4,16.0,None reported,Yes,Yes,21.0,26.0,23.5,13157.0,4385.666666666667,Good,36.8,10.217391304347826,American,186.6241134751773,34990.0
Ford,2014,Red,Other,Four-wheel Drive,Gasoline,3.5,V6,24.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,128410.0,12841.0,Good,84.0,6.833189368701578,American,536.917235114514,17984.0
Buick,2017,White,Other,Front-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,21.0,31.0,26.0,27775.0,3967.8571428571427,Good,86.4,7.222222222222222,American,152.6098901098901,22346.0
Cadillac,2011,Silver/Gray,Other,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,No,Yes,20.59277708592777,27.23954849498328,23.916162790455523,21081.0,1621.6153846153845,Potential Risk,99.2,3.857445611363794,American,67.8041623492603,63995.0
Cadillac,2019,White,Black,Rear-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,14.0,21.0,17.5,44749.0,8949.8,Good,99.2,2.82258064516129,American,511.4171428571429,74990.0
Chevrolet,2020,White,Black,Four-wheel Drive,Gasoline,3.6,V6,24.0,None reported,Yes,Yes,17.0,24.0,20.5,28261.0,7065.25,Good,86.4,5.694444444444445,American,344.6463414634146,29799.0
Chevrolet,2022,Metallic,Black,Rear-wheel Drive,Gasoline,5.3,V8,16.0,None reported,Yes,No,20.59277708592777,27.23954849498328,23.916162790455523,20458.0,10229.0,Good,84.8,4.5124835453689665,American,427.7023906227213,67443.0
GMC,2023,White,Other,Four-wheel Drive,Gasoline,6.2,V8,16.0,None reported,Yes,Yes,20.59277708592777,27.23954849498328,23.916162790455523,304.0,304.0,Good,99.2,3.857445611363794,American,12.711069190468987,103995.0
